BOROUGH,SITE_NUMBER,AD,ED
1,11225,65,14
3,B0387,42,34
2,X0118,78,38
1,10517,76,85
2,X0066,87,22
3,B0386,42,18
1,M0072,69,39
3,B0333,54,36
4,11369,35,47
3,B0387,44,34
1,10222,66,9
2,X0219,82,74
2,X0110,83,86
2,X0052,86,39
4,Q0216,35,23
2,X0062,87,24
3,11420,51,29
1,11194,76,76
2,10420,87,93
3,B0022,58,5
3,B0338,55,2
4,Q0052,40,37
1,M0084,68,76
2,11754,82,97
4,10609,34,32
1,M0046,65,65
2,X0113,82,9
4,Q0128,30,56
1,M0105,68,83
4,Q0318,37,15
1,11191,75,92
2,11456,83,87
3,B0136,54,62
5,10008,62,20
4,Q0012,32,40
3,B0141,45,61
2,X0113,82,10
3,11471,51,47
2,X0143,83,42
2,X0104,86,20
3,B0258,57,55
2,X0118,80,82
5,S0043,64,28
3,B0267,44,65
4,10453,39,30
4,Q0277,33,10
3,11229,43,46
3,B0343,46,71
4,11490,30,55
3,10286,53,36
2,X0066,87,29
2,11151,83,5
3,B0077,45,2
5,S0035,62,59
1,11487,69,14
1,11255,65,88
2,10072,84,30
3,B0265,57,62
3,11448,55,72
2,X0153,81,105
3,B0189,53,20
4,Q0079,26,7
1,M0140,68,42
3,B0061,56,52
1,M0043,67,61
3,B0406,41,16
4,Q0240,27,42
4,Q0093,24,28
3,B0012,53,18
3,B0208,45,42
4,Q0079,40,1
1,10611,65,10
3,10682,60,56
1,11287,74,55
4,10861,29,68
3,11118,59,51
2,X0132,80,64
2,X0101,80,31
3,11427,53,72
3,11406,53,17
1,M0083,76,71
2,X0234,82,79
4,Q0288,29,4
3,10253,51,21
1,M0027,65,81
3,B0027,53,24
2,X0160,84,71
1,M0081,70,44
4,11371,34,11
1,M0013,75,52
3,B0048,45,72
3,B0134,50,90
4,Q0232,34,54
4,Q0033,31,19
5,10634,62,10
4,10220,30,71
4,Q0033,31,68
2,10420,87,94
4,Q0256,24,8
4,Q0261,38,31
3,11472,59,62
2,11738,79,18
1,M0129,73,68
4,Q0115,25,34
3,11248,55,15
2,X0167,85,8
3,11445,54,77
3,B0273,48,39
3,B0089,52,58
5,11426,62,46
4,Q0197,31,53
3,B0117,56,8
3,B0227,44,24
4,Q0261,38,45
3,B0060,45,58
1,M0326,69,28
4,Q0005,33,73
3,10052,51,27
3,10598,43,34
2,10544,81,15
1,M0240,71,44
3,B0273,48,40
3,B0237,50,34
3,B0339,57,60
3,B0258,57,56
4,Q0276,28,7
3,B0289,48,37
3,B0387,44,33
4,Q0227,28,64
4,11458,33,66
3,B0338,55,1
4,Q0051,25,63
3,B0388,59,22
4,Q0219,35,32
4,11158,38,48
1,11532,68,99
3,11440,52,95
3,10718,54,6
4,Q0098,25,18
3,10597,56,36
3,11251,44,76
4,Q0257,26,76
1,M0078,68,11
3,10247,53,77
4,Q0301,34,4
3,B0266,49,33
1,10261,73,56
1,M0326,69,19
1,10993,69,95
4,Q0180,37,30
2,X0219,82,76
2,X0130,81,102
5,10301,61,15
2,11582,84,1
2,11737,80,24
2,X0052,86,40
3,B0355,46,78
2,X0223,78,6
3,B0317,42,10
1,10205,74,88
3,11245,51,63
3,B0020,59,1
4,Q0291,23,56
3,B0287,50,59
3,B0092,45,38
3,B0069,50,12
3,B0275,56,12
3,B0155,60,60
3,10443,56,55
3,11521,42,67
3,B0020,59,21
2,X0166,81,61
5,S0045,63,54
4,10453,39,29
4,Q0202,25,23
4,11186,38,14
1,11220,75,83
3,B0193,60,2
4,Q0064,23,61
3,B0246,56,83
3,B0014,59,16
4,Q0273,38,21
1,M0303,71,60
4,Q0240,27,25
4,Q0232,34,56
3,11515,51,79
3,B0305,44,49
4,Q0300,38,35
4,Q0140,30,63
1,10176,73,36
2,X0203,85,22
4,Q0273,38,25
1,M0082,71,6
2,X0024,85,61
4,Q0234,28,41
3,11385,49,11
2,X0093,78,18
2,10078,85,48
1,M0081,70,35
4,Q0168,37,33
1,M0023,65,78
4,10815,39,4
3,B0023,58,78
3,10784,49,15
2,X0098,78,7
3,B0313,59,57
5,11480,64,38
1,M0303,71,100
1,M0303,71,58
3,B0189,53,33
2,X0064,85,1
3,B0406,59,34
4,Q0178,31,58
4,Q0251,39,39
1,M0303,71,59
2,X0077,87,81
1,M0302,72,76
3,B0265,57,61
3,B0048,45,70
3,11118,59,55
4,Q0121,36,54
4,10566,39,46
3,B0056,58,69
2,X0190,84,78
3,10253,51,11
3,10054,53,71
3,B0396,51,72
1,M0044,67,73
4,Q0169,26,31
5,S0074,63,34
4,Q0185,25,54
3,10319,41,62
2,10359,77,33
4,10929,29,35
1,M0126,74,104
3,B0133,44,80
4,Q0248,25,9
5,10858,63,13
1,M0303,71,61
4,Q0005,33,52
1,M0100,73,88
1,M0234,73,77
1,M0192,75,16
4,Q0013,32,77
2,X0111,78,24
3,10122,47,55
3,B0035,50,62
3,B0306,56,1
4,Q0166,37,63
2,X0190,79,58
4,Q0261,38,30
3,10984,41,33
4,Q0093,24,35
3,B0144,42,63
1,M0013,75,56
1,M0106,72,54
3,11286,52,46
5,S0029,62,41
2,X0234,82,82
3,B0093,53,2
1,10799,73,6
4,Q0148,34,44
4,10509,29,30
1,M0303,71,48
1,M0126,73,102
2,X0080,87,86
2,X0066,87,52
1,M0121,70,61
4,Q0134,34,42
4,Q0144,26,66
5,S0020,61,53
1,M0106,72,52
4,Q0132,23,35
3,11405,60,34
1,10760,70,31
3,B0345,47,3
3,B0042,49,50
4,Q0251,39,37
5,10298,63,16
3,B0014,59,76
1,M0002,74,42
4,Q0113,37,62
1,10537,75,11
4,11369,35,20
5,10013,64,23
3,B0010,55,23
4,Q0049,29,50
1,M0302,72,46
5,10010,62,58
1,M0126,73,103
3,10551,57,85
1,M0303,71,54
4,Q0237,30,12
5,S0052,63,36
3,10443,56,56
1,M0303,71,49
3,10718,54,51
2,X0201,77,60
3,B0238,52,38
1,M0303,71,56
4,11182,30,62
3,11230,58,21
4,Q0049,29,69
4,Q0050,32,23
4,Q0125,24,12
1,10569,69,61
4,11636,35,54
3,10557,57,78
4,11372,23,12
1,M0019,66,62
1,10710,69,74
1,10837,76,26
4,10208,24,43
2,X0203,85,27
4,Q0282,24,48
1,10799,75,58
3,B0320,49,48
1,M0303,71,55
4,Q0134,34,10
3,B0345,49,29
3,11477,56,60
4,10566,39,44
3,B0371,59,6
2,X0087,86,59
2,11146,85,31
3,B0212,52,6
3,B0107,57,26
1,11523,74,47
3,B0131,42,49
3,B0305,44,55
3,B0343,46,79
3,B0059,60,77
3,11406,53,22
1,M0254,72,31
4,Q0280,28,16
2,X0076,87,1
4,11369,35,52
4,10861,29,62
4,Q0237,28,76
1,M0140,68,40
3,B0076,41,2
4,Q0140,30,64
1,11225,65,15
3,B0390,59,69
3,B0273,48,41
3,B0376,56,19
2,10071,84,17
2,X0166,81,53
3,11493,45,41
2,X0156,81,25
1,M0155,75,41
2,X0168,84,44
4,Q0250,24,21
1,M0287,71,74
4,Q0077,26,8
3,11488,46,41
3,B0294,52,99
2,11146,85,29
3,B0035,50,11
3,B0241,55,64
4,10843,28,32
2,X0210,80,43
1,M0018,73,85
4,Q0182,25,53
1,10465,75,60
1,M0064,68,33
5,S0022,64,50
2,X0092,78,17
3,B0167,46,17
3,11432,44,51
3,11432,44,52
3,11417,58,48
1,M0286,65,62
3,B0372,60,68
1,11220,67,4
4,Q0131,29,42
3,B0382,45,17
3,B0339,57,63
5,S0026,64,7
2,X0035,77,67
1,M0013,75,57
3,B0092,45,39
4,Q0036,32,32
3,B0394,42,57
4,10453,39,31
1,10142,74,38
3,11448,55,74
4,10560,26,3
2,X0037,80,54
5,10298,63,27
3,B0255,58,32
2,10544,81,34
3,B0225,43,11
4,Q0096,33,33
4,11182,30,66
4,Q0299,28,61
4,Q0225,28,46
1,M0037,75,28
3,11566,50,93
4,Q0102,25,33
1,M0215,70,16
3,B0293,60,10
3,B0113,50,44
3,B0278,59,31
4,Q0144,26,65
1,10932,74,67
5,S0073,64,3
4,Q0102,25,36
4,Q0045,36,15
3,10051,48,15
